car_park_no,address,car_park_type,type_of_parking_system,night_parking,Latitude,Longitude,,,,,
B35,BLK 137/140 BEDOK NORTH AVENUE 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.329058051,103.935173,,,,,
B40,BLK 504/508 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.33254993,103.9327698,,,,,
B41,BLK 510 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.332554936,103.9314957,,,,,
B42,BLK 509/511 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.33245182,103.9308243,,,,,
B43,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.331105232,103.9276047,,,,,
B44,BLK 528/536 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.333971262,103.9275055,,,,,
B44A,BLK 523/527 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.334415436,103.9298553,,,,,
B44B,BLKS 556/557 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.332301378,103.9229126,,,,,
B45,BLK 537/539 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.33167994,103.9254303,,,,,
B46,BLK 537 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.331321239,103.9241791,,,,,
B47,BLK 540/542 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.330895901,103.9222488,,,,,
B48,BLK 543/547 BEDOK NORTH STREET 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.330095887,103.9234238,,,,,
B48B,BLK 547C BEDOK NORTH AVENUE 1,BASEMENT CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.329966903,103.9257584,,,,,
B49,BLK 549/551 BEDOK NORTH AVENUE 1,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.332185745,103.9266663,,,,,
B50,BLK 601/605 BEDOK RESERVOIR ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.330447078,103.913063,,,,,
B50A,BLK 606/610 BEDOK RESERVOIR ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.33151257,103.912735,,,,,
B50B,BLK 609A BEDOK RESERVOIR ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.331637025,103.9119492,,,,,
